loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_1,m4_seen_camera_2,m4_seen_camera_3,m4_seen_camera_4,m4_seen_camera_5,m4_seen_camera_6,m4_seen_camera_7,m4_history_camera_1,m4_history_camera_2,m4_history_camera_3,m4_history_camera_4,m4_history_camera_5,m4_history_camera_6,m4_history_camera_7,m4_prev_removed_camera_1,m4_prev_removed_camera_2,m4_prev_removed_camera_3,m4_prev_removed_camera_4,m4_prev_removed_camera_5,m4_prev_removed_camera_6,m4_prev_removed_camera_7
0,0.0,2725.5,7,7,0,9,0,7,0,0,0,1,2,3,0,0,0,3,1,2,3,0,0,0,3,0,0,0,0,0,0,0
50,8.33,2735.2,18,17,1,19,1,17,6,0,0,6,5,9,0,0,0,3,5,2,9,0,0,0,3,0,1,0,0,0,0,0
100,16.67,2734.3,27,21,6,24,6,21,10,0,0,9,7,10,0,0,3,4,5,4,9,0,0,3,3,1,0,0,0,0,0,1
150,25.0,2737.0,33,21,12,30,12,21,13,0,0,13,10,16,0,3,6,4,7,6,12,0,1,3,1,1,0,0,0,0,0,0
200,33.33,2714.0,44,26,18,30,18,26,14,0,0,19,14,21,0,3,6,4,9,7,14,0,0,0,0,0,1,1,0,0,0,0
250,41.67,2711.7,50,22,28,24,28,22,6,0,0,24,15,22,0,3,6,4,9,6,9,0,0,0,0,0,0,0,0,0,0,0
300,50.0,2714.2,52,19,33,20,33,19,3,0,0,26,15,22,0,3,6,4,6,6,8,0,0,0,0,1,0,0,0,0,0,0
350,58.33,2714.3,58,22,36,27,36,22,9,0,0,32,15,27,0,3,6,4,9,6,12,0,0,0,0,0,0,0,0,0,0,0
400,66.67,2714.3,59,18,41,21,41,18,2,0,0,33,15,29,0,3,6,4,6,4,11,0,0,0,0,0,0,0,0,0,0,0
450,75.0,2712.4,66,23,43,26,43,23,7,0,0,37,16,32,0,3,6,4,8,5,13,0,0,0,0,0,0,0,0,0,0,0
500,83.33,2714.6,70,21,49,24,49,21,6,0,0,41,16,33,0,3,6,4,8,4,12,0,0,0,0,0,0,0,0,0,0,0
550,91.67,2714.7,70,18,52,21,52,18,1,0,0,41,16,33,0,3,6,4,7,4,10,0,0,0,0,0,0,0,0,0,0,0
600,100.0,2714.8,72,20,52,24,52,20,3,0,0,41,18,34,0,3,6,4,7,6,11,0,0,0,0,0,0,0,0,0,0,0
650,108.33,2714.8,74,21,48,26,48,21,5,0,0,43,18,36,0,3,6,4,8,6,12,0,0,0,0,1,0,0,0,0,0,0
700,116.67,2714.5,78,22,45,27,45,22,9,0,0,46,19,38,0,3,6,4,8,6,13,0,0,0,0,1,0,1,0,0,0,0
750,125.0,2714.5,79,20,42,23,42,20,3,0,0,47,19,39,0,3,6,4,6,6,11,0,0,0,0,0,0,0,0,0,0,0
800,133.33,2714.5,80,20,32,22,32,20,2,0,0,48,19,39,0,3,6,4,6,5,11,0,0,0,0,0,1,0,0,0,0,0
850,141.67,2714.5,83,23,30,25,30,23,6,0,0,50,20,39,0,3,6,4,8,6,11,0,0,0,0,0,0,0,0,0,0,0
900,150.0,2714.5,84,19,32,22,32,19,3,0,0,51,20,40,0,3,6,4,6,6,10,0,0,0,0,0,0,1,0,0,0,0
950,158.33,2714.7,87,20,26,25,26,20,7,0,0,54,20,44,0,3,6,4,7,6,12,0,0,0,0,0,0,0,0,0,0,0
1000,166.67,2735.8,89,18,30,23,30,18,5,0,0,56,20,45,0,3,6,4,5,6,12,0,0,0,0,1,0,0,0,0,0,0
1050,175.0,2714.7,96,24,24,28,24,24,4,0,0,60,23,45,0,3,6,4,9,8,11,0,0,0,0,1,0,0,0,0,0,0
1100,183.33,2714.7,97,21,24,23,24,21,3,0,0,61,23,45,0,3,6,4,8,6,9,0,0,0,0,0,1,1,0,0,0,0
1150,191.67,2714.9,98,21,25,24,25,21,3,0,0,62,23,46,0,3,6,4,8,6,10,0,0,0,0,0,0,0,0,0,0,0
1200,200.0,2715.0,100,23,25,27,25,23,5,0,0,64,23,47,0,3,6,4,10,6,11,0,0,0,0,0,0,0,0,0,0,0
1250,208.33,2715.0,103,25,24,29,24,25,6,0,0,67,23,49,0,3,6,4,12,5,12,0,0,0,0,0,0,0,0,0,0,0
1300,216.67,2736.2,105,23,24,26,24,23,4,0,0,69,23,49,0,3,6,4,10,5,11,0,0,0,0,0,0,0,0,0,0,0
1350,225.0,2715.1,105,22,23,25,23,22,6,0,0,69,23,49,0,3,6,4,9,5,11,0,0,0,0,0,0,0,0,0,0,0
1400,233.33,2715.2,113,27,26,32,26,27,10,0,0,75,25,52,0,3,6,4,12,7,13,0,0,0,0,1,0,0,0,0,0,0
1450,241.67,2715.3,118,26,32,28,32,26,5,0,0,78,27,53,0,3,6,4,10,6,12,0,0,0,0,1,0,0,0,0,0,0
1500,250.0,2715.3,127,28,34,29,34,28,10,0,0,83,31,54,0,3,6,4,11,7,11,0,0,0,0,0,1,0,0,0,0,0
1550,258.33,2715.8,135,30,37,31,37,30,10,0,0,88,33,56,0,3,6,4,11,8,12,0,0,0,0,0,0,0,0,0,0,0
1600,266.67,2715.8,140,29,39,32,39,29,8,0,0,92,34,59,0,3,6,4,13,8,13,0,0,0,0,1,0,1,0,0,0,0
1650,275.0,2715.8,141,25,44,27,44,25,6,0,0,93,34,60,0,3,6,4,10,6,12,0,0,0,0,1,0,2,0,0,0,0
1700,283.33,2715.8,143,23,43,25,43,23,3,0,0,95,34,61,0,3,6,4,9,6,12,0,0,0,0,0,0,0,0,0,0,0
1750,291.67,2715.5,145,21,47,23,47,21,6,0,0,96,35,61,0,3,6,4,7,6,12,0,0,0,0,1,0,0,0,0,0,0
1800,300.0,2715.5,151,21,52,23,52,21,9,0,0,101,36,65,0,3,6,4,8,4,12,0,0,0,0,0,0,0,0,0,0,0
1850,308.33,2715.5,156,21,53,24,53,21,10,0,0,102,40,68,0,3,6,4,6,8,11,0,0,0,0,0,0,1,0,0,0,0
1900,316.67,2715.5,163,21,60,24,60,21,10,0,0,108,41,72,0,3,6,4,8,5,11,0,0,0,0,0,0,1,0,0,0,0
