loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_1,m4_history_camera_1,m4_prev_removed_camera_1
0,144.83,199.1,1,1,0,1,0,1,0,0,0,1,1,0
50,146.5,199.6,2,2,0,2,0,2,0,0,0,2,2,0
100,148.17,199.6,2,1,1,1,1,1,0,0,0,2,1,0
150,149.83,199.6,2,1,1,1,1,1,0,0,0,2,1,0
200,151.5,199.6,2,1,1,1,1,1,0,0,0,2,1,0
250,153.17,199.6,2,1,1,1,1,1,0,0,0,2,1,0
300,154.83,199.7,2,1,1,1,1,1,0,0,0,2,1,0
350,156.5,199.7,2,1,1,1,1,1,0,0,0,2,1,0
400,158.17,199.7,3,2,1,2,1,2,0,0,0,3,2,0
450,159.83,199.7,3,2,1,2,1,2,0,0,0,3,2,0
