frame_id,track_id,x1,y1,x2,y2,class_id,conf,status
0,1,467.1,135.4,779.3,599.7,0,0.828,active
1,1,466.2,136.6,779.4,600.2,0,0.829,active
2,1,465.5,137.3,780.0,599.8,0,0.838,active
3,1,465.7,138.3,780.1,599.7,0,0.841,active
4,1,465.8,139.3,780.6,599.6,0,0.847,active
5,1,464.7,142.8,781.3,600.7,0,0.852,active
6,1,464.5,143.2,781.4,600.1,0,0.853,active
7,1,464.7,142.6,782.1,600.5,0,0.85,active
8,1,463.7,143.0,782.3,600.0,0,0.852,active
9,1,465.3,142.6,782.9,600.3,0,0.849,active
10,1,464.6,142.3,783.2,599.8,0,0.849,active
11,1,464.9,144.6,782.8,599.1,0,0.85,active
12,1,465.4,145.0,784.3,598.9,0,0.865,active
13,1,465.8,147.1,787.3,599.6,0,0.868,active
14,1,465.6,148.2,789.4,599.9,0,0.868,active
15,1,465.3,150.9,789.7,600.7,0,0.851,active
16,1,466.8,151.3,790.3,599.3,0,0.878,active
17,1,466.4,152.6,792.1,600.1,0,0.843,active
18,1,466.4,153.7,792.8,600.5,0,0.85,active
19,1,466.1,156.8,795.6,600.7,0,0.858,active
20,1,465.7,157.3,797.2,600.3,0,0.87,active
21,1,466.2,157.4,798.1,600.6,0,0.869,active
22,1,465.9,156.8,800.7,601.4,0,0.853,active
23,1,465.5,157.5,802.0,601.9,0,0.846,active
24,1,464.4,156.8,803.5,601.7,0,0.846,active
25,1,464.0,157.3,804.3,602.2,0,0.841,active
26,1,462.7,156.6,806.1,602.1,0,0.861,active
27,1,462.6,157.4,807.1,601.8,0,0.865,active
28,1,462.9,157.7,810.1,602.1,0,0.858,active
29,1,463.0,157.9,810.9,601.9,0,0.855,active
30,1,463.1,158.7,811.8,602.1,0,0.848,active
31,1,461.8,159.5,812.4,602.4,0,0.851,active
32,1,462.0,159.8,812.9,602.6,0,0.856,active
33,1,462.7,159.0,812.1,602.2,0,0.853,active
34,1,461.4,159.5,809.3,602.8,0,0.845,active
35,1,461.6,160.2,809.0,603.2,0,0.863,active
36,1,462.9,157.8,807.5,603.3,0,0.847,active
37,1,463.3,157.0,805.7,604.5,0,0.852,active
38,1,463.9,156.5,804.4,603.9,0,0.848,active
39,1,463.1,156.5,803.4,605.0,0,0.845,active
40,1,463.6,156.2,801.4,605.2,0,0.858,active
41,1,463.9,156.8,799.7,605.6,0,0.865,active
42,1,464.0,155.9,798.8,605.1,0,0.866,active
43,1,463.7,156.3,798.0,604.8,0,0.869,active
44,1,465.1,153.0,800.5,604.3,0,0.851,active
45,1,465.0,155.3,798.0,602.8,0,0.855,active
46,1,463.9,156.5,796.9,602.5,0,0.852,active
47,1,465.6,154.1,797.0,603.0,0,0.858,active
48,1,464.3,156.4,797.3,600.7,0,0.843,active
49,1,463.6,156.4,798.7,600.8,0,0.857,active
50,1,463.5,155.9,799.7,600.1,0,0.849,active
51,1,462.9,157.8,802.2,599.8,0,0.853,active
52,1,462.3,156.8,803.6,599.4,0,0.843,active
53,1,463.2,157.0,806.2,598.2,0,0.859,active
54,1,463.1,156.7,808.2,597.2,0,0.854,active
55,1,463.2,158.2,810.8,596.2,0,0.848,active
56,1,462.7,157.5,812.6,599.4,0,0.843,active
57,1,462.6,163.9,814.1,599.2,0,0.836,active
58,1,460.7,167.2,813.6,600.3,0,0.839,active
59,1,460.8,173.0,807.1,599.3,0,0.833,active
60,1,463.2,186.2,796.6,594.0,0,0.863,active
61,1,462.8,189.4,791.2,596.0,0,0.866,active
62,1,463.9,187.9,786.1,598.1,0,0.858,active
63,1,466.7,191.7,779.3,598.2,0,0.847,active
64,1,466.3,192.5,778.5,597.9,0,0.838,active
65,1,472.2,195.4,782.3,597.9,0,0.823,active
66,1,476.3,194.2,788.5,603.6,0,0.811,active
67,1,482.8,195.5,793.5,611.5,0,0.812,active
68,1,490.6,201.6,799.4,612.2,0,0.832,active
69,1,492.3,202.5,804.5,609.9,0,0.859,active
70,1,535.6,196.1,807.6,603.8,0,0.806,active
71,1,547.8,191.2,808.1,599.8,0,0.808,active
72,1,551.5,194.9,810.7,598.0,0,0.819,active
73,1,558.4,199.5,813.2,597.3,0,0.798,active
74,1,563.3,199.8,815.1,596.8,0,0.807,active
75,1,560.8,200.7,816.7,589.8,0,0.833,active
76,1,560.5,206.4,815.7,586.7,0,0.835,active
77,1,560.2,203.7,816.6,589.1,0,0.846,active
78,1,561.4,207.6,814.8,589.0,0,0.845,active
79,1,562.6,214.0,818.6,594.7,0,0.858,active
80,1,561.0,216.8,828.8,602.4,0,0.869,active
81,1,562.3,223.8,836.5,611.0,0,0.878,active
82,1,564.0,219.7,843.2,618.3,0,0.879,active
83,1,562.9,235.6,850.4,634.1,0,0.855,active
84,1,565.8,227.0,857.4,640.5,0,0.843,active
85,1,563.5,227.3,859.9,646.1,0,0.846,active
86,1,565.1,224.8,862.4,651.2,0,0.858,active
87,1,566.8,228.3,867.4,653.3,0,0.855,active
88,1,565.6,234.7,874.6,655.8,0,0.845,active
89,1,567.2,247.1,881.7,654.2,0,0.821,active
