loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_4,m4_history_camera_4,m4_prev_removed_camera_4
0,50.67,195.9,1,1,0,1,0,1,0,0,0,1,1,0
50,52.33,196.2,1,1,0,1,0,1,0,0,0,1,1,0
100,54.0,196.3,1,1,0,1,0,1,0,0,0,1,1,0
150,55.67,196.3,1,1,0,1,0,1,0,0,0,1,1,0
200,57.33,196.3,1,1,0,1,0,1,0,0,0,1,1,0
250,59.0,196.3,1,1,0,1,0,1,0,0,0,1,1,0
300,60.67,196.3,1,1,0,1,0,1,0,0,0,1,1,0
350,62.33,196.3,1,1,0,1,0,1,0,0,0,1,1,0
400,64.0,196.3,1,1,0,1,0,1,0,0,0,1,1,0
450,65.67,196.3,1,1,0,1,0,1,0,0,0,1,1,0
500,67.33,196.3,1,1,0,1,0,1,0,0,0,1,1,0
550,69.0,196.3,1,1,0,1,0,1,0,0,0,1,1,0
