loop_i,video_fid,t_sec,camera_id,track_id,x1,y1,x2,y2,conf,hits,start_frame,chef_id
0,7830,261.0,camera_1,0,369.9,0.2,425.9,100.3,0.813,1,0,
1,7831,261.033,camera_1,0,369.4,0.6,442.3,101.1,0.864,2,0,1
2,7832,261.067,camera_1,0,367.0,0.6,455.3,101.1,0.91,3,0,1
3,7833,261.1,camera_1,0,370.0,0.2,471.3,102.0,0.928,4,0,1
4,7834,261.133,camera_1,0,369.3,0.5,474.2,102.4,0.929,5,0,1
5,7835,261.167,camera_1,0,370.5,0.4,473.4,103.2,0.925,6,0,1
6,7836,261.2,camera_1,0,370.8,0.3,475.0,103.4,0.922,7,0,1
7,7837,261.233,camera_1,0,370.8,0.4,476.4,103.5,0.908,8,0,1
8,7838,261.267,camera_1,0,371.1,0.2,477.2,103.2,0.9,9,0,1
9,7839,261.3,camera_1,0,373.3,0.3,476.4,103.2,0.895,10,0,1
10,7840,261.333,camera_1,0,380.1,0.5,476.7,102.4,0.852,11,0,1
11,7841,261.367,camera_1,0,378.9,0.7,474.7,102.7,0.703,12,0,1
12,7842,261.4,camera_1,0,390.2,0.7,476.3,102.1,0.873,13,0,1
13,7843,261.433,camera_1,0,389.8,0.8,476.2,103.9,0.822,14,0,1
14,7844,261.467,camera_1,0,394.4,0.7,476.0,103.1,0.802,15,0,1
15,7845,261.5,camera_1,0,409.1,0.7,476.7,103.4,0.796,16,0,1
16,7846,261.533,camera_1,0,427.6,0.7,479.4,107.0,0.803,17,0,1
17,7847,261.567,camera_1,0,435.4,1.1,508.3,108.7,0.748,18,0,1
18,7848,261.6,camera_1,0,435.9,1.3,507.5,109.9,0.761,19,0,1
19,7849,261.633,camera_1,0,435.8,0.5,500.1,107.2,0.864,20,0,1
20,7850,261.667,camera_1,0,436.1,0.7,499.9,103.4,0.852,21,0,1
21,7851,261.7,camera_1,0,437.1,0.9,510.7,105.5,0.866,22,0,1
22,7852,261.733,camera_1,0,438.5,0.8,514.5,103.1,0.848,23,0,1
23,7853,261.767,camera_1,0,439.3,0.8,515.5,103.8,0.853,24,0,1
24,7854,261.8,camera_1,0,438.0,0.9,517.4,104.0,0.883,25,0,1
25,7855,261.833,camera_1,0,438.7,0.9,517.2,104.1,0.887,26,0,1
26,7856,261.867,camera_1,0,440.3,1.0,516.7,105.9,0.877,27,0,1
27,7857,261.9,camera_1,0,443.5,0.9,515.8,105.6,0.852,28,0,1
28,7858,261.933,camera_1,0,446.5,0.7,515.6,107.0,0.854,29,0,1
29,7859,261.967,camera_1,0,448.0,0.8,513.3,106.4,0.729,30,0,1
30,7860,262.0,camera_1,0,452.2,0.9,510.6,103.2,0.589,31,0,1
31,7861,262.033,camera_1,0,456.8,0.6,511.8,103.8,0.711,32,0,1
31,7861,262.033,camera_1,1,489.1,0.1,522.5,108.8,0.414,1,31,
32,7862,262.067,camera_1,0,458.7,0.4,512.0,105.3,0.546,33,0,1
33,7863,262.1,camera_1,0,462.8,0.9,506.7,98.2,0.185,34,0,1
34,7864,262.133,camera_1,0,458.0,0.9,505.4,97.8,0.164,35,0,1
35,7865,262.167,camera_1,0,456.2,1.2,507.5,97.2,0.145,36,0,1
181,8011,267.033,camera_1,2,475.6,0.6,516.8,157.5,0.716,1,181,
182,8012,267.067,camera_1,2,472.9,0.6,516.8,160.3,0.773,2,181,3
183,8013,267.1,camera_1,2,470.0,0.4,517.2,160.3,0.762,3,181,3
184,8014,267.133,camera_1,2,461.1,0.0,518.0,159.7,0.859,4,181,3
185,8015,267.167,camera_1,2,461.0,0.4,518.6,158.7,0.871,5,181,3
186,8016,267.2,camera_1,2,437.9,1.0,518.5,161.2,0.894,6,181,3
187,8017,267.233,camera_1,2,434.5,1.0,517.1,162.0,0.869,7,181,3
188,8018,267.267,camera_1,2,432.5,1.1,516.3,162.4,0.886,8,181,3
189,8019,267.3,camera_1,2,431.0,1.1,514.7,162.5,0.891,9,181,3
190,8020,267.333,camera_1,2,431.6,0.8,513.6,162.7,0.904,10,181,3
191,8021,267.367,camera_1,2,428.9,1.0,513.0,162.9,0.892,11,181,3
192,8022,267.4,camera_1,2,425.5,0.9,513.3,162.6,0.892,12,181,3
193,8023,267.433,camera_1,2,423.7,0.9,506.1,163.1,0.877,13,181,3
194,8024,267.467,camera_1,2,418.6,0.8,499.1,163.6,0.863,14,181,3
195,8025,267.5,camera_1,2,413.5,0.8,495.4,164.6,0.858,15,181,3
196,8026,267.533,camera_1,2,413.0,1.0,493.8,170.5,0.871,16,181,3
197,8027,267.567,camera_1,2,413.2,0.7,489.4,165.8,0.877,17,181,3
198,8028,267.6,camera_1,2,412.3,0.7,487.3,165.6,0.879,18,181,3
