loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_1,m4_history_camera_1,m4_prev_removed_camera_1
0,62.33,201.0,1,1,0,1,0,1,0,0,0,1,1,0
50,64.0,201.3,1,1,0,1,0,1,0,0,0,1,1,0
100,65.67,201.5,1,1,0,1,0,1,0,0,0,1,1,0
150,67.33,201.5,1,1,0,1,0,1,0,0,0,1,1,0
200,69.0,201.5,1,1,0,1,0,1,0,0,0,1,1,0
250,70.67,201.5,1,1,0,1,0,1,0,0,0,1,1,0
300,72.33,201.5,1,1,0,1,0,1,0,0,0,1,1,0
350,74.0,201.5,1,1,0,1,0,1,0,0,0,1,1,0
400,75.67,201.5,1,1,0,1,0,1,0,0,0,1,1,0
450,77.33,201.5,1,1,0,1,0,1,0,0,0,1,1,0
