loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_7,m4_history_camera_7,m4_prev_removed_camera_7
0,97.17,197.1,1,1,0,1,0,1,0,0,0,1,1,0
50,98.83,197.4,1,1,0,1,0,1,0,0,0,1,1,0
100,100.5,197.4,1,1,0,1,0,1,0,0,0,1,1,0
150,102.17,197.4,1,1,0,1,0,1,0,0,0,1,1,0
200,103.83,197.5,1,1,0,1,0,1,0,0,0,1,1,0
250,105.5,197.5,1,1,0,1,0,1,0,0,0,1,1,0
300,107.17,197.5,1,1,0,1,0,1,0,0,0,1,1,0
350,108.83,197.5,1,1,0,1,0,1,0,0,0,1,1,0
400,110.5,197.5,1,1,0,1,0,1,0,0,0,1,1,0
450,112.17,197.5,1,1,0,1,0,1,0,0,0,1,1,0
500,113.83,197.5,1,1,0,1,0,1,0,0,0,1,1,0
550,115.5,197.5,1,1,0,1,0,1,0,0,0,1,1,0
600,117.17,197.5,1,1,0,1,0,1,0,0,0,1,1,0
