loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_3,m4_history_camera_3,m4_prev_removed_camera_3
0,528.5,208.6,1,1,0,1,0,1,0,0,0,1,1,0
50,530.17,209.1,3,3,0,3,0,3,1,0,0,3,3,0
100,531.83,209.3,3,2,1,2,1,2,0,0,0,3,2,0
150,533.5,209.3,3,2,1,2,1,2,1,0,0,3,2,0
200,535.17,209.3,5,3,2,3,2,3,0,0,0,5,3,0
250,536.83,209.4,5,2,3,2,3,2,0,0,0,5,2,0
300,538.5,209.4,5,1,4,1,4,1,0,0,0,5,1,0
350,540.17,209.4,5,1,4,1,4,1,0,0,0,5,1,0
400,541.83,209.4,6,2,4,2,4,2,0,0,0,6,2,0
450,543.5,209.5,8,4,4,4,4,4,0,0,0,8,4,0
500,545.17,209.5,8,3,5,3,5,3,0,0,0,8,3,0
550,546.83,209.5,9,4,5,4,5,4,3,0,0,10,4,0
