loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_1,m4_history_camera_1,m4_prev_removed_camera_1
0,12.83,198.4,2,2,0,2,0,2,0,0,0,2,2,0
50,14.5,198.9,4,3,1,3,1,3,1,0,0,4,3,0
100,16.17,199.0,4,2,2,2,2,2,0,0,0,4,2,0
150,17.83,199.0,4,2,2,2,2,2,0,0,0,4,2,0
200,19.5,199.0,4,2,2,2,2,2,1,0,0,4,2,0
250,21.17,199.0,4,1,3,1,3,1,0,0,0,4,1,0
300,22.83,199.0,4,1,3,1,3,1,0,0,0,4,1,0
350,24.5,199.0,5,1,4,1,4,1,0,0,0,5,1,0
400,26.17,199.1,5,1,4,1,4,1,0,0,0,5,1,0
450,27.83,199.1,5,1,4,1,4,1,0,0,0,5,1,0
500,29.5,199.1,5,1,4,1,4,1,0,0,0,5,1,0
550,31.17,199.1,5,1,4,1,4,1,0,0,0,5,1,0
600,32.83,199.1,6,2,4,2,4,2,0,0,0,6,2,0
650,34.5,199.1,7,3,2,3,2,3,0,0,0,7,3,0
